,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,date
101,PP,8260.0,pp2201,8231.0,pp2205,8257.0,-29.0,-3.0,-0.0035108958837772875,-0.0003631961259079608,20220106
102,I,839.11,i2201,696.5,i2205,709.0,-142.61,-130.11,-0.16995387970587883,-0.15505714387863334,20220106
103,EG,5033.33,eg2201,5059.0,eg2205,5076.0,25.670000000000073,42.67000000000007,0.005100003377485729,0.008477489057939769,20220106
104,EB,8490.0,eb2201,8337.0,eb2202,8428.0,-153.0,-62.0,-0.018021201413427557,-0.007302709069493485,20220106
105,PG,5470.0,pg2201,4969.0,pg2202,4891.0,-501.0,-579.0,-0.09159049360146254,-0.1058500914076782,20220106
106,LH,15.83,lh2201,13995.0,lh2203,14155.0,13979.17,14139.17,883.0808591282375,893.188250157928,20220106
107,WH,2838.0,WH201,2838.0,WH205,2953.0,0.0,115.0,0.0,0.040521494009866155,20220106
108,PM,2838.0,PM201,2422.0,PM201,2422.0,-416.0,-416.0,-0.14658210007047212,-0.14658210007047212,20220106
109,CF,22370.5,CF201,22120.0,CF205,20960.0,-250.5,-1410.5,-0.011197782794304945,-0.06305178695156566,20220106
110,SR,5740.0,SR201,5672.0,SR205,5741.0,-68.0,1.0,-0.01184668989547033,0.00017421602787459634,20220106
111,TA,5096.67,TA201,5054.0,TA205,5122.0,-42.67000000000007,25.329999999999927,-0.008372133177152907,0.004969911726676379,20220106
112,OI,12660.0,OI201,11991.0,OI205,11762.0,-669.0,-898.0,-0.05284360189573456,-0.07093206951026854,20220106
113,MA,2387.5,MA201,2528.0,MA205,2588.0,140.5,200.5,0.058848167539266916,0.08397905759162305,20220106
114,FG,1890.3999999999999,FG201,1723.0,FG205,1769.0,-167.39999999999986,-121.39999999999986,-0.08855268726195509,-0.0642192128650021,20220106
115,RS,6310.0,RS207,5969.0,RS208,5964.0,-341.0,-346.0,-0.0540412044374009,-0.054833597464342354,20220106
116,RM,2946.0,RM201,3132.0,RM205,2946.0,186.0,0.0,0.06313645621181263,0.0,20220106
117,SF,8162.5,SF201,8272.0,SF205,8364.0,109.5,201.5,0.013415007656967903,0.02468606431852982,20220106
118,SM,7862.5,SM201,8202.0,SM205,8220.0,339.5,357.5,0.04317965023847381,0.04546899841017482,20220106
119,CY,30166.67,CY201,27280.0,CY205,28255.0,-2886.6699999999983,-1911.6699999999983,-0.09569070765848531,-0.0633702692408542,20220106
120,UR,2592.0,UR201,2509.0,UR205,2431.0,-83.0,-161.0,-0.03202160493827155,-0.062114197530864224,20220106
121,SA,2650.0,SA201,2246.0,SA205,2269.0,-404.0,-381.0,-0.15245283018867928,-0.1437735849056604,20220106
122,CU,70026.67,cu2201,69690.0,cu2202,69890.0,-336.66999999999825,-136.66999999999825,-0.004807739679753453,-0.001951684979451418,20220106
123,AL,20763.33,al2201,20660.0,al2202,20650.0,-103.33000000000175,-113.33000000000175,-0.004976562044720301,-0.005458180359316223,20220106
124,ZN,24552.0,zn2201,24395.0,zn2202,24445.0,-157.0,-107.0,-0.006394591072010458,-0.004358097100032543,20220106
125,PB,15075.0,pb2201,15080.0,pb2202,15130.0,5.0,55.0,0.0003316749585406953,0.003648424543946982,20220106
126,NI,153833.33,ni2201,152230.0,ni2202,151360.0,-1603.3299999999872,-2473.329999999987,-0.010422513768635122,-0.016077985180454668,20220106
127,SN,303133.34,sn2201,306480.0,sn2202,295850.0,3346.6599999999744,-7283.340000000026,0.01104022408092753,-0.02402685234161317,20220106
128,AU,372.37,au2201,371.38,au2206,374.42,-0.9900000000000091,2.0500000000000114,-0.0026586459704057708,0.005505277009426157,20220106
129,AG,4698.0,ag2201,4671.0,ag2206,4765.0,-27.0,67.0,-0.005747126436781658,0.014261387824606286,20220106
130,RB,4734.44,rb2201,4664.0,rb2205,4471.0,-70.4399999999996,-263.4399999999996,-0.01487821157306879,-0.05564332846123288,20220106
131,WR,4886.0,wr2201,4835.0,wr2202,4604.0,-51.0,-282.0,-0.010437986082685202,-0.057715923045435935,20220106
132,HC,4950.0,hc2201,4795.0,hc2205,4602.0,-155.0,-348.0,-0.03131313131313129,-0.07030303030303031,20220106
133,FU,5220.0,fu2202,2766.0,fu2205,2855.0,-2454.0,-2365.0,-0.47011494252873565,-0.4530651340996169,20220106
134,BU,3263.2,bu2201,3162.0,bu2206,3320.0,-101.19999999999982,56.80000000000018,-0.03101250306447656,0.01740622701642569,20220106
135,RU,13580.0,ru2201,14430.0,ru2205,14710.0,850.0,1130.0,0.0625920471281296,0.08321060382916046,20220106
136,SP,5990.0,sp2201,5998.0,sp2205,6020.0,8.0,30.0,0.0013355592654424875,0.005008347245408995,20220106
137,SS,17666.67,ss2201,16945.0,ss2202,17025.0,-721.6699999999983,-641.6699999999983,-0.04084923757561543,-0.03632093654321944,20220106
138,C,2670.0,c2201,2630.0,c2205,2676.0,-40.0,6.0,-0.014981273408239737,0.0022471910112360494,20220107
139,CS,3300.0,cs2201,2999.0,cs2203,3004.0,-301.0,-296.0,-0.09121212121212119,-0.08969696969696972,20220107
140,A,6070.0,a2201,5959.0,a2203,5874.0,-111.0,-196.0,-0.018286655683690256,-0.03228995057660622,20220107
141,M,3566.0,m2201,3433.0,m2205,3229.0,-133.0,-337.0,-0.03729669097027477,-0.0945036455412227,20220107
142,Y,9732.0,y2201,9246.0,y2205,9024.0,-486.0,-708.0,-0.04993834771886563,-0.07274969173859436,20220107
143,P,10016.67,p2201,10076.0,p2205,8836.0,59.32999999999993,-1180.67,0.005923126148710045,-0.11787050986006331,20220107
144,JD,4590.0,jd2201,4072.0,jd2205,4128.0,-518.0,-462.0,-0.11285403050108933,-0.1006535947712418,20220107
145,L,8740.0,l2201,8783.0,l2205,8760.0,43.0,20.0,0.004919908466819223,0.0022883295194509046,20220107
146,V,8340.0,v2201,8483.0,v2205,8457.0,143.0,117.0,0.017146282973621085,0.014028776978417312,20220107
147,PP,8260.0,pp2201,8276.0,pp2205,8342.0,16.0,82.0,0.0019370460048426796,0.009927360774818483,20220107
148,I,844.22,i2201,700.0,i2205,714.0,-144.22000000000003,-130.22000000000003,-0.1708322475184194,-0.1542488924687878,20220107
149,EG,5100.0,eg2201,5200.0,eg2205,5216.0,100.0,116.0,0.019607843137254832,0.02274509803921565,20220107
150,EB,8490.0,eb2201,8480.0,eb2202,8580.0,-10.0,90.0,-0.0011778563015312216,0.010600706713780994,20220107
151,PG,5660.0,pg2201,5049.0,pg2202,5010.0,-611.0,-650.0,-0.10795053003533572,-0.11484098939929333,20220107
152,LH,15.68,lh2201,13980.0,lh2203,14020.0,13964.32,14004.32,890.5816326530612,893.1326530612245,20220107
153,WH,2842.0,WH201,2829.0,WH205,2944.0,-13.0,102.0,-0.004574243490499619,0.03589021815622795,20220107
154,PM,2842.0,PM201,2422.0,PM201,2422.0,-420.0,-420.0,-0.14778325123152714,-0.14778325123152714,20220107
155,CF,22385.33,CF201,22185.0,CF205,21000.0,-200.33000000000175,-1385.3300000000017,-0.00894916447512728,-0.061885618840553214,20220107
156,SR,5740.0,SR201,5642.0,SR205,5710.0,-98.0,-30.0,-0.017073170731707332,-0.005226480836236891,20220107
157,TA,5202.22,TA201,5148.0,TA205,5240.0,-54.220000000000255,37.779999999999745,-0.010422473482474826,0.0072622841786775805,20220107
158,OI,12730.0,OI201,12066.0,OI205,11795.0,-664.0,-935.0,-0.05216025137470537,-0.07344854673998424,20220107
159,MA,2387.5,MA201,2536.0,MA205,2611.0,148.5,223.5,0.062198952879581215,0.09361256544502616,20220107
160,FG,1866.3999999999999,FG201,1810.0,FG205,1827.0,-56.399999999999864,-39.399999999999864,-0.03021860265752241,-0.021110158594084827,20220107
161,RS,6310.0,RS207,5969.0,RS208,5977.0,-341.0,-333.0,-0.0540412044374009,-0.052773375594294736,20220107
162,RM,2936.0,RM201,3057.0,RM205,2935.0,121.0,-1.0,0.041212534059945405,-0.00034059945504083533,20220107
163,SF,8162.5,SF201,8332.0,SF205,8488.0,169.5,325.5,0.020765696784073473,0.03987748851454831,20220107
164,SM,7862.5,SM201,8256.0,SM205,8328.0,393.5,465.5,0.050047694753577066,0.059205087440381554,20220107
165,CY,30166.67,CY201,27985.0,CY205,28395.0,-2181.6699999999983,-1771.6699999999983,-0.07232054449496739,-0.05872938577575837,20220107
166,UR,2594.0,UR201,2574.0,UR205,2479.0,-20.0,-115.0,-0.00771010023130303,-0.04433307632999228,20220107
167,SA,2650.0,SA201,2243.0,SA205,2323.0,-407.0,-327.0,-0.1535849056603774,-0.12339622641509429,20220107
168,CU,69820.0,cu2201,69420.0,cu2202,69340.0,-400.0,-480.0,-0.005729017473503295,-0.00687482096820391,20220107
169,AL,21063.33,al2201,20995.0,al2202,21000.0,-68.33000000000175,-63.330000000001746,-0.0032440264668502916,-0.0030066470971115145,20220107
170,ZN,24660.0,zn2201,24550.0,zn2202,24485.0,-110.0,-175.0,-0.0044606650446066265,-0.007096512570965108,20220107
171,PB,15308.33,pb2201,15220.0,pb2202,15330.0,-88.32999999999993,21.670000000000073,-0.0057700611366491295,0.0014155691705104445,20220107
172,NI,154266.67,ni2201,151340.0,ni2202,151060.0,-2926.670000000013,-3206.670000000013,-0.01897149915791929,-0.020786538012391276,20220107
173,SN,304300.0,sn2201,307300.0,sn2202,295860.0,3000.0,-8440.0,0.009858692080183973,-0.027735787052251104,20220107
174,AU,368.43,au2201,371.38,au2206,370.06,2.9499999999999886,1.6299999999999955,0.00800694840268168,0.004424178269956336,20220107
175,AG,4583.67,ag2201,4574.0,ag2206,4635.0,-9.670000000000073,51.32999999999993,-0.0021096632174655294,0.011198450150207151,20220107
176,RB,4734.44,rb2201,4647.0,rb2205,4488.0,-87.4399999999996,-246.4399999999996,-0.018468921350782708,-0.05205261868351896,20220107
177,WR,4886.0,wr2201,4835.0,wr2202,4721.0,-51.0,-165.0,-0.010437986082685202,-0.03376995497339341,20220107
178,HC,4962.0,hc2201,4825.0,hc2205,4645.0,-137.0,-317.0,-0.027609834744054762,-0.0638855300282144,20220107
179,FU,5220.0,fu2202,2877.0,fu2205,2938.0,-2343.0,-2282.0,-0.44885057471264367,-0.43716475095785445,20220107
180,BU,3311.2,bu2201,3264.0,bu2206,3402.0,-47.19999999999982,90.80000000000018,-0.014254650881855513,0.02742208262865442,20220107
181,RU,13790.0,ru2201,14420.0,ru2205,14770.0,630.0,980.0,0.045685279187817285,0.07106598984771573,20220107
182,SP,6030.0,sp2201,6086.0,sp2205,6116.0,56.0,86.0,0.009286898839137692,0.01426202321724701,20220107
183,SS,17666.67,ss2201,16755.0,ss2202,16835.0,-911.6699999999983,-831.6699999999983,-0.05160395252755601,-0.04707565149516002,20220107
184,C,2667.14,c2201,2632.0,c2205,2691.0,-35.13999999999987,23.860000000000127,-0.01317516140884989,0.008945912100602138,20220110
185,CS,3292.0,cs2201,2962.0,cs2203,2998.0,-330.0,-294.0,-0.10024301336573516,-0.0893074119076549,20220110
186,A,6056.0,a2201,5958.0,a2203,5823.0,-98.0,-233.0,-0.01618229854689568,-0.038474240422721295,20220110
187,M,3612.0,m2201,3492.0,m2205,3242.0,-120.0,-370.0,-0.03322259136212624,-0.10243632336655595,20220110
188,Y,9818.0,y2201,9108.0,y2205,9046.0,-710.0,-772.0,-0.07231615400285185,-0.07863108576084743,20220110
189,P,10133.33,p2201,9810.0,p2205,8836.0,-323.3299999999999,-1297.33,-0.031907576285386874,-0.12802602895593063,20220110
190,JD,4645.0,jd2201,4057.0,jd2205,4107.0,-588.0,-538.0,-0.12658772874058122,-0.11582346609257266,20220110
191,L,8740.0,l2201,8719.0,l2205,8657.0,-21.0,-83.0,-0.0024027459954233388,-0.00949656750572081,20220110
192,V,8330.0,v2201,8444.0,v2205,8354.0,114.0,24.0,0.013685474189675917,0.0028811524609844152,20220110
193,PP,8260.0,pp2201,8174.0,pp2205,8278.0,-86.0,18.0,-0.010411622276029098,0.002179176755447987,20220110
194,I,842.44,i2201,701.5,i2205,704.0,-140.94000000000005,-138.44000000000005,-0.16729974835003092,-0.16433217795926125,20220110
